"player_api_id","player_name","overall_rating","gk_rating","appearances","league_no"
"506",23070,"Shaun Derry",70,39,38,1
"507",23072,"Richard Cresswell",70,37,12,1
"508",23073,"Matthew Kilgallon",74,142,21,1
"509",23074,"Robbie Blake",76,146,20,1
"510",23075,"Franco Sosa",72,44,40,1
"511",23080,"Rab Douglas",62,310,30,1
"512",23081,"Alan Maybury",66,54,76,1
"513",23083,"Stephen Hughes",68,112,62,1
"514",23091,"Richard Stearman",74,52,67,1
"515",23093,"Tommy Wright",61,117,4,1
"516",23099,"Kevin Foley",70,53,64,1
"517",23104,"Rowan Vine",70,51,32,1
"518",23114,"Dean Brill",66,328,61,1
"519",23115,"Leon Barnett",71,48,29,1
"520",23117,"John Sutton",71,57,180,1
"521",23127,"Jody Morris",67,54,84,1
"522",23133,"Adam Drury",72,113,12,1
"523",23134,"Jason Shackell",75,38,38,1
"524",23139,"Dean Ashton",82,78,4,1
"525",23141,"Paul Gallacher",68,336,116,1
"526",23144,"Jurgen Colin",66,77,24,2
"527",23147,"Joe Lewis",68,330,1,1
"528",23148,"Marc Janko",76,105,60,3
"529",23151,"Frazer Wright",68,54,184,1
"530",23163,"Akos Buzsaky",72,45,10,1
"531",23170,"Matt Derbyshire",77,118,9,1
"532",23182,"Omar Daley",65,45,13,1
"533",23185,"Graham Alexander",72,144,33,1
"534",23186,"Callum Davidson",71,87,46,1
"535",23187,"Youl Mawene",63,57,19,1
"536",23190,"David Nugent",78,114,49,1
"537",23193,"Matthew Hill",64,98,2,1
"538",23225,"Stephen Hunt",77,134,57,1
"539",23249,"Lee Bullen,29",66,126,29,1
"540",23253,"Glenn Whelan",76,66,209,1
"541",23254,"Burton O'Brien",66,146,53,1
"542",23257,"Chris Brunt",75,48,188,1
"543",23264,"Gabriel Agbonlahor",83,124,215,1
"544",23265,"Patrick Kenny,30",80,389,33,1
"545",23268,"Phil Jagielka",82,269,224,1
"546",23271,"Danny Webber",81,90,4,1
"547",23275,"Michael Tonge",74,145,1,1
"548",23282,"Nicky Shorey",77,152,94,1
"549",23283,"Steve Sidwell",78,108,111,1
"550",23284,"Ibrahima Sonko",75,89,16,1
"551",23285,"Glen Little",74,111,4,1
"552",23286,"Leroy Lita",80,115,4,1
"553",23288,"Dave Kitson",76,116,20,1
"554",23291,"Kevin Doyle",79,152,84,1
"555",23293,"Shane Long",76,50,114,1
"556",23299,"Brett Ormerod",71,54,6,1
"557",23304,"Djamel Belmadi",68,109,11,1
"558",23305,"Nathan Dyer",76,61,96,1
"559",23307,"Steve Simonsen",71,360,13,2
"560",23310,"Michael Duberry",75,112,49,1
"561",23311,"Clint Hill",72,57,65,1
"562",23314,"Mamady Sidibe",70,112,36,1
"563",23317,"David Templeton",74,41,57,1
"564",23333,"Seyi Olofinjana",74,155,25,1
"565",23334,"Jody Craddock",73,72,48,1
"566",23335,"Jackie McNamara",73,123,42,1
"567",23349,"Clarke Carlisle",74,125,27,1
"568",23352,"Marlon King",76,59,28,1
"569",23354,"Ashley Young",85,67,190,1
"570",23355,"Hameur Bouazza",74,53,3,1
"571",23358,"Adrian Mariappa",73,47,63,1
